Местное время в Астане;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
13.09.2018 2:00;06.янв;740.2;772.3;-0.3;75;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;;01.сен;;;;;;
12.09.2018 23:00;08.май;740.5;772.3;0.0;63;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;15.июл;;;;;;;01.авг;;;;;;
12.09.2018 20:00;11.0;740.5;772.0;0.3;55;Ветер, дующий с западо-северо-запада;1;;;Облаков нет.; ;;;;15.июл;;;;;;;02.фев;;;;;;
12.09.2018 17:00;14.июл;740.2;771.3;-0.3;37;Ветер, дующий с западо-северо-запада;2;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;0.2;;;;;;
12.09.2018 14:00;14.май;740.5;771.6;-0.9;38;Ветер, дующий с западо-северо-запада;3;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;0.2;;;;;;
12.09.2018 11:00;12.янв;741.4;772.9;-0.1;41;Ветер, дующий с юго-запада;2;;;70 – 80%.; ;;;01.июн;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-1.0;;;;;;
12.09.2018 8:00;4.0;741.5;773.9;0.7;68;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;10.0;-1.5;;;Cухая (без трещин, заметного количества пыли или сыпучего песка);-2.0;;
12.09.2018 5:00;02.май;740.8;773.4;0.6;65;Ветер, дующий с юго-юго-запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-3.4;;;;;;
12.09.2018 2:00;02.сен;740.2;772.7;0.0;73;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-1.6;;;;;;
11.09.2018 23:00;02.июл;740.2;772.7;0.3;76;Штиль, безветрие;0;;;Облаков нет.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;11.0;;;;;;;-1.2;;;;;;
11.09.2018 20:00;06.апр;739.9;771.9;1.0;51;Ветер, дующий с северо-северо-востока;1;;;40%.; ;;;;11.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-3.0;;;;;;
11.09.2018 17:00;10.янв;738.9;770.5;0.3;36;Ветер, дующий с севера;2;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-4.4;;;;;;
11.09.2018 14:00;10.янв;738.6;770.2;0.2;45;Ветер, дующий с северо-запада;3;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся из кучевых.;70 – 80%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-1.3;;;;;;
11.09.2018 11:00;09.сен;738.4;769.9;0.2;45;Ветер, дующий с северо-запада;1;;;90  или более, но не 100%; ;;;1.0;;Слоисто-кучевые, образовавшиеся из кучевых.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-1.6;;;;;;
11.09.2018 8:00;04.сен;738.2;770.4;0.4;80;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;01.июл;;;Cухая (без трещин, заметного количества пыли или сыпучего песка);-3.0;;
11.09.2018 5:00;01.мар;737.8;770.3;0.6;89;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-0.3;;;;;;
11.09.2018 2:00;02.янв;737.2;769.6;0.2;81;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-0.9;;;;;;
10.09.2018 23:00;5.0;737.0;769.1;0.8;75;Штиль, безветрие;0;;;40%.; ;;;;16.июл;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;0.9;Следы осадков;12;;;;
10.09.2018 20:00;07.июл;736.2;767.9;01.июл;68;Ветер, дующий с северо-северо-востока;3;;;100%.; ;;;;16.июл;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;;02.фев;Следы осадков;12;;;;
10.09.2018 17:00;10.авг;734.5;765.8;01.апр;72;Ветер, дующий с северо-северо-востока;5;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;05.сен;;;;;;
10.09.2018 14:00;14.апр;733.1;763.9;0.3;77;Ветер, дующий с северо-востока;2;;;100%.;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;10.апр;;;;;;
10.09.2018 11:00;15.авг;732.8;763.4;0.4;72;Ветер, дующий с северо-северо-запада;1;;;100%.; ;;;11.июн;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;10.авг;;;;;;
10.09.2018 8:00;13.0;732.4;763.3;0.3;78;Ветер, дующий с запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;09.мар;;;Cухая (без трещин, заметного количества пыли или сыпучего песка);10.0;;
10.09.2018 5:00;12.апр;732.1;763.0;-0.3;71;Ветер, дующий с западо-юго-запада;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;07.мар;;;;;;
10.09.2018 2:00;13.июн;732.4;763.3;-0.8;64;Ветер, дующий с юго-запада;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1500-2000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;;06.сен;;;;;;
09.09.2018 23:00;14.июл;733.2;763.9;-0.4;61;Ветер, дующий с юго-запада;2;;;70 – 80%.; ;;;;20.апр;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;;07.мар;Следы осадков;12;;;;
09.09.2018 20:00;16.апр;733.6;764.2;0.3;56;Ветер, дующий с запада;2;;;100%.; ;;;;20.апр;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;07.май;Следы осадков;12;;;;
09.09.2018 17:00;19.авг;733.3;763.5;-0.4;44;Ветер, дующий с северо-запада;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;07.фев;;;;;;
09.09.2018 14:00;18.апр;733.7;764.1;-0.3;50;Ветер, дующий с северо-запада;2;;;100%.;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;10.0;07.июл;;;;;;
09.09.2018 11:00;17.мар;734.0;764.5;0.4;62;Ветер, дующий с запада;2;;;40%.; ;;;06.июн;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;09.авг;;;;;;
09.09.2018 8:00;8.0;733.6;765.2;1.0;97;Ветер, дующий с юго-запада;1;;;Облаков нет.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;;;;;;4.0;07.июн;;;Cухая (без трещин, заметного количества пыли или сыпучего песка);4.0;;
